Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector,industry
1997-06-30,0.304,53.606,17.181,0.335,0.32,0.0,0.004,0.399,17.99,17.64,10496000000.0,185156000000.0,11358000000.0,4187904000.0,0.369,11,Technology,Software—Infrastructure
1998-06-30,0.31,61.443,16.592,0.345,0.27,0.0,0.006,0.64,28.75,28.36,9728000000.0,275880000000.0,14484000000.0,6225920000.0,0.43,12,Technology,Software—Infrastructure
1999-06-30,0.394,55.423,15.172,0.307,0.274,0.0,0.004,0.939,43.4,42.91,10056000000.0,431465250000.0,19747000000.0,9442584000.0,0.478,13,Technology,Software—Infrastructure
2000-06-30,0.41,38.383,8.741,0.261,0.228,0.0,0.001,1.261,35.31,34.84,10378000000.0,361608437500.0,22956000000.0,13086658000.0,0.57,14,Technology,Software—Infrastructure
2001-07-02,0.29,47.841,7.432,0.253,0.155,0.0,0.0,1.153,33.27,32.9,10682000000.0,351437816023.0,25296000000.0,12316346000.0,0.487,15,Technology,Software—Infrastructure
2002-07-01,0.276,33.214,4.983,0.296,0.15,0.0,0.0,1.271,24.33,24.05,10812000000.0,260028591350.4,28365000000.0,13742052000.0,0.484,16,Technology,Software—Infrastructure
2003-06-30,0.31,28.146,4.609,0.304,0.164,0.003,0.086,1.39,26.83,26.23,10723000000.0,281264284638.5,32187000000.0,14904970000.0,0.463,17,Technology,Software—Infrastructure
2004-06-30,0.222,37.681,4.113,0.235,0.109,0.006,0.212,1.251,29.97,28.49,10803000000.0,307777467839.4,36835000000.0,13514553000.0,0.367,18,Technology,Software—Infrastructure
2005-06-30,0.308,22.653,5.769,0.472,0.255,0.13,2.947,1.457,26.06,25.61,10839000000.0,277586796503.4,39788000000.0,15792423000.0,0.397,19,Technology,Software—Infrastructure
2006-06-30,0.285,20.091,6.312,0.735,0.314,0.014,0.281,1.229,24.89,24.25,10438000000.0,253121500000.0,44282000000.0,12828302000.0,0.29,20,Technology,Software—Infrastructure
2007-07-02,0.275,20.364,9.21,1.031,0.452,0.013,0.271,1.594,30.03,29.4,9742000000.0,286414796103.2,51122000000.0,15528748000.0,0.304,21,Technology,Software—Infrastructure
2008-06-30,0.293,13.838,6.743,1.006,0.487,0.016,0.227,1.976,27.34,26.23,9328000000.0,244673435336.0,60420000000.0,18432128000.0,0.305,22,Technology,Software—Infrastructure
2009-06-30,0.249,14.619,5.384,0.969,0.368,0.021,0.307,1.78,24.49,23.81,8945000000.0,212980445527.5,58437000000.0,15922100000.0,0.272,23,Technology,Software—Infrastructure
2010-06-30,0.3,12.125,4.926,0.865,0.406,0.02,0.244,2.507,26.43,25.81,8813000000.0,227463525593.5,62484000000.0,22094191000.0,0.354,24,Technology,Software—Infrastructure
2011-06-30,0.331,10.049,4.075,0.904,0.406,0.022,0.224,2.902,28.53,27.4,8490000000.0,232625996604.0,69943000000.0,24637980000.0,0.352,25,Technology,Software—Infrastructure
2012-07-02,0.23,14.658,3.75,0.827,0.256,0.026,0.376,3.492,30.47,29.64,8396000000.0,248857434962.4,73723000000.0,29318832000.0,0.398,26,Technology,Software—Infrastructure
2013-07-01,0.281,12.201,3.379,0.804,0.277,0.028,0.341,2.934,32.3,31.85,8375000000.0,266743753350.0,77849000000.0,24572250000.0,0.316,27,Technology,Software—Infrastructure
2014-06-30,0.254,16.384,4.028,0.92,0.246,0.025,0.402,3.223,44.62,43.58,8299000000.0,361670434938.2,86833000000.0,26747677000.0,0.308,28,Technology,Software—Infrastructure
2015-06-30,0.13,31.439,4.787,1.201,0.152,0.026,0.81,2.829,47.56,46.88,8177000000.0,383337768994.7,93580000000.0,23132733000.0,0.247,29,Technology,Software—Infrastructure
2016-06-30,0.197,26.741,6.239,1.69,0.233,0.025,0.655,3.152,57.5,56.68,7925000000.0,449189002377.5,85320000000.0,24979600000.0,0.293,30,Technology,Software—Infrastructure
2017-06-30,0.236,26.682,7.815,2.33,0.293,0.021,0.559,4.051,74.03,73.04,7746000000.0,565767846971.4,89950000000.0,31379046000.0,0.349,31,Technology,Software—Infrastructure
2018-07-02,0.15,48.962,9.809,2.129,0.2,0.016,0.766,4.189,106.92,105.37,7700000000.0,811349020790.0,110360000000.0,32255300000.0,0.292,32,Technology,Software—Infrastructure
2019-07-01,0.312,27.444,10.524,1.8,0.383,0.013,0.352,4.986,141.83,140.35,7673000000.0,1076905596805.3,125843000000.0,38257578000.0,0.304,33,Technology,Software—Infrastructure
2020-06-30,0.31,35.042,13.116,1.547,0.374,0.01,0.342,5.944,205.68,203.9,7610000000.0,1551678953579.0,143015000000.0,45233840000.0,0.316,34,Technology,Software—Infrastructure
2021-06-30,0.365,35.094,15.144,1.351,0.432,0.008,0.27,7.436,288.07,284.91,7547000000.0,2150215797923.9,168088000000.0,56119492000.0,0.334,35,Technology,Software—Infrastructure
2022-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.6,280.74,7496000000.0,2104426966539.2,198270000000.0,0.0,0.0,36,Technology,Software—Infrastructure
