Date,profitMargin,P/E,P/B,D/E,ROE,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,dcf,price,numberOfShares,marketCapitalization,revenue,freeCashFlow,freeCashFlowMargin,company_age,sector
1997-12-31,0.236,13.961,2.013,11.399,0.144,0.023,0.324,0.098,38.98,29.94,1434900000.0,42957318750.0,13053000000.0,140620200.0,0.011,18,Financial Services
1998-12-31,0.164,22.426,2.521,12.446,0.112,0.022,0.504,3.018,43.55,33.44,3464114000.0,115831311875.0,31504000000.0,10454696052.0,0.332,19,Financial Services
1999-12-31,0.242,10.018,1.777,13.237,0.177,0.041,0.406,3.009,32.09,22.88,3452012000.0,78964774500.0,32546000000.0,10387104108.0,0.319,20,Financial Services
2000-12-31,0.228,12.149,1.917,12.483,0.158,0.037,0.451,1.404,37.75,27.74,3292796000.0,91325700352.796,32956000000.0,4623085584.0,0.14,21,Financial Services
2001-12-31,0.193,14.48,2.027,11.815,0.14,0.037,0.535,-4.283,41.1,30.83,3189914000.0,98345048620.0,35113000000.0,-13662401662.0,-0.389,22,Financial Services
2002-12-31,0.263,11.292,2.076,12.125,0.184,0.036,0.401,-4.258,44.81,34.36,3040084000.0,104442085820.0,35124000000.0,-12944677672.0,-0.369,23,Financial Services
2003-12-31,0.278,11.203,2.524,14.349,0.225,0.035,0.396,8.107,52.55,40.73,2973406000.0,121106826380.0,38827000000.0,24105402442.0,0.621,24,Financial Services
2004-12-31,0.277,12.145,1.724,10.144,0.142,0.038,0.457,-1.282,56.69,45.7,3758507000.0,171763773658.507,51017000000.0,-4818405974.0,-0.094,25,Financial Services
2005-12-31,0.288,10.829,1.756,11.723,0.162,0.043,0.467,-3.355,56.9,44.48,4008688000.0,178306442240.0,57175000000.0,-13449148240.0,-0.235,26,Financial Services
2006-12-31,0.305,11.164,1.744,9.791,0.156,0.041,0.457,3.04,63.25,52.12,4526637000.0,235928315913.363,69391000000.0,13760976480.0,0.198,27,Financial Services
2007-12-31,0.241,12.463,1.272,10.687,0.102,0.058,0.726,2.01,54.49,42.21,4423579000.0,186719265166.421,62255000000.0,8891393790.0,0.143,28,Financial Services
2008-12-31,0.055,7.539,0.171,9.268,0.023,0.382,2.876,0.422,15.82,6.58,4592085000.0,30215919300.0,72243000000.0,1937859870.0,0.027,29,Financial Services
2009-12-31,0.057,18.693,0.507,8.606,0.027,0.041,0.775,16.496,34.01,15.18,7728570000.0,117319692600.0,109629000000.0,127490490720.0,1.163,30,Financial Services
2010-12-31,-0.021,-59.495,0.583,8.923,-0.01,0.013,-0.787,8.335,27.37,13.6,9790472000.0,133150419200.0,104960000000.0,81603584120.0,0.777,31,Financial Services
2011-12-31,0.017,49.591,0.312,8.253,0.006,0.024,1.202,6.229,21.48,7.07,10142625000.0,71708358750.0,86094000000.0,63178411125.0,0.734,32,Financial Services
2012-12-31,0.052,29.2,0.516,8.327,0.018,0.016,0.456,-1.29,23.43,11.38,10746028000.0,122289798640.0,81264000000.0,-13862376120.0,-0.171,33,Financial Services
2013-12-31,0.133,15.894,0.781,8.035,0.049,0.009,0.147,8.601,30.24,16.93,10731165000.0,181678623450.0,86041000000.0,92298750165.0,1.073,34,Financial Services
2014-12-31,0.058,33.002,0.655,7.644,0.02,0.014,0.477,2.43,29.03,15.15,10527818000.0,159496442700.0,83117000000.0,25582597740.0,0.308,35,Financial Services
2015-12-31,0.193,9.311,0.577,7.37,0.062,0.024,0.225,2.65,30.11,14.14,10462282000.0,147936667480.0,82246000000.0,27725047300.0,0.337,36,Financial Services
2016-12-31,0.214,13.181,0.885,7.199,0.067,0.018,0.234,1.78,38.27,22.95,10284147000.0,236021183934.147,83701000000.0,18305781660.0,0.219,37,Financial Services
2017-12-31,0.209,17.828,1.217,7.539,0.068,0.018,0.313,1.02,48.42,31.88,10195646000.0,325037184284.354,87352000000.0,10399558920.0,0.119,38,Financial Services
2018-12-31,0.308,10.428,1.106,7.874,0.106,0.023,0.245,3.914,47.38,29.07,10096500000.0,293505255000.0,91247000000.0,39517701000.0,0.433,39,Financial Services
2019-12-31,0.301,11.462,1.187,8.192,0.104,0.019,0.216,6.579,51.44,33.48,9390500000.0,314393940000.0,91244000000.0,61780099500.0,0.677,40,Financial Services
2020-12-31,0.209,14.504,0.951,9.331,0.066,0.03,0.432,4.34,73.86,29.65,8753200000.0,259532380000.0,85528000000.0,37988888000.0,0.444,41,Financial Services
2021-12-31,0.359,12.556,1.487,10.736,0.118,0.02,0.252,-0.822,86.47,45.87,8753200000.0,401509275246.8,89113000000.0,-7195130400.0,-0.081,42,Financial Services
