Date,avgROE,avgProfitMargin,avgRevenue,avgP/E,avgP/B,avgD/E
1997,0.12,0.13,11682501375.0,11.21,1.74,7.88
1998,0.09,0.1,17880425125.0,19.14,2.05,7.73
1999,0.17,0.16,22939375000.0,14.48,2.87,11.28
2000,0.15,0.15,28144125000.0,16.1,2.76,10.08
2001,0.06,0.09,26522875000.0,18.93,2.14,10.22
2002,0.1,0.11,32253125000.0,15.74,1.62,10.4
2003,0.14,0.14,36280750000.0,12.64,2.04,10.45
2004,0.11,0.12,44914000000.0,13.86,1.68,9.57
2005,0.15,0.15,49752825625.0,11.81,2.05,10.09
2006,0.17,0.17,57116015750.0,10.28,2.17,10.11
2007,0.14,0.14,53589224500.0,13.74,1.66,11.44
2008,-0.2,-1.12,39509500000.0,11.87,0.68,9.44
2009,0.06,0.12,60641250000.0,6.76,1.01,7.97
2010,0.11,0.15,59064375000.0,1.99,1.28,7.45
2011,0.11,0.18,52578125000.0,15.89,1.21,7.02
2012,0.09,0.14,51872500000.0,19.9,1.53,6.8
2013,0.13,0.2,54078000000.0,13.38,1.87,6.51
2014,0.12,0.19,53161125000.0,16.26,1.81,6.11
2015,0.12,0.21,52044125000.0,14.97,1.73,5.82
2016,0.11,0.21,50905000000.0,2.86,1.96,6.05
2017,0.07,0.12,52402875000.0,13.33,2.52,6.85
2018,0.15,0.25,55801875000.0,-789.82,2.36,6.87
2019,0.15,0.25,58298750000.0,14.75,2.85,6.93
2020,0.1,0.17,57351125000.0,15.24,2.55,7.66
2021,0.19,0.3,61997125000.0,13.04,3.17,8.12
